test_id,company_id,governorate,region,source_type,year,month,season,pH,turbidity_NTU,TDS_mg_L,chlorine_mg_L,EC_uS_cm,nitrate_mg_L,nitrite_mg_L,ammonia_mg_L,iron_Fe_mg_L,manganese_Mn_mg_L,sulfate_mg_L,hardness_mg_L,chloride_mg_L,DO_mg_L,coliform_CFU_per_100mL,pH_compliant,turbidity_compliant,TDS_compliant,chlorine_compliant,nitrate_compliant,coliform_compliant,potable
1,1,Cairo,Greater Cairo,Nile River,2021,11,Autumn,7.86,0.77,275,0.67,450,1.9,0.015,0.062,0.056,0.019,43,140,35,10.0,1,1,1,1,1,1,0,0
2,1,Cairo,Greater Cairo,Nile River,2020,3,Spring,7.82,0.49,326,0.67,509,3.35,0.005,0.124,0.067,0.013,52,155,36,10.0,0,1,1,1,1,1,1,1
3,1,Cairo,Greater Cairo,Nile River,2023,6,Summer,7.84,0.31,253,0.58,552,3.27,0.021,0.071,0.085,0.028,47,160,56,10.0,1,1,1,1,1,1,0,0
4,1,Cairo,Greater Cairo,Nile River,2021,1,Winter,7.79,0.38,255,0.6,562,2.28,0.014,0.082,0.057,0.018,42,169,37,10.0,0,1,1,1,1,1,1,1
5,1,Cairo,Greater Cairo,Nile River,2022,12,Winter,7.9,0.48,268,0.67,563,2.35,0.017,0.087,0.097,0.011,40,147,29,10.0,0,1,1,1,1,1,1,1
6,1,Cairo,Greater Cairo,Nile River,2023,7,Summer,7.9,1.34,348,0.76,557,3.62,0.016,0.117,0.055,0.027,51,144,34,10.0,0,1,0,1,1,1,1,0
7,1,Cairo,Greater Cairo,Nile River,2023,1,Winter,7.75,0.18,302,0.71,525,1.73,0.005,0.064,0.042,0.012,42,155,52,10.0,0,1,1,1,1,1,1,1
8,1,Cairo,Greater Cairo,Nile River,2023,4,Spring,7.9,0.29,279,0.73,527,2.41,0.013,0.083,0.077,0.026,23,175,54,10.0,0,1,1,1,1,1,1,1
9,1,Cairo,Greater Cairo,Nile River,2021,1,Winter,7.7,0.66,330,0.82,489,1.92,0.009,0.104,0.072,0.022,43,141,43,10.0,0,1,1,1,1,1,1,1
10,1,Cairo,Greater Cairo,Nile River,2022,7,Summer,7.71,0.61,328,0.56,554,3.86,0.012,0.132,0.081,0.033,33,124,43,10.0,0,1,1,1,1,1,1,1
